county,state,"Rates of Persons Living with HIV, 2020"
"Autauga","Alabama",243
"Baldwin","Alabama",176
"Barbour","Alabama",457
"Bibb","Alabama",216
"Blount","Alabama",76
"Bullock","Alabama",638
"Butler","Alabama",340
"Calhoun","Alabama",255
"Chambers","Alabama",393
"Cherokee","Alabama",140
"Chilton","Alabama",162
"Choctaw","Alabama",262
"Clarke","Alabama",177
"Clay","Alabama",179
"Cleburne","Alabama",112
"Coffee","Alabama",176
"Colbert","Alabama",138
"Conecuh","Alabama",316
"Coosa","Alabama",223
"Covington","Alabama",154
"Crenshaw","Alabama",226
"Cullman","Alabama",97
"Dale","Alabama",316
"Dallas","Alabama",457
"DeKalb","Alabama",114
"Elmore","Alabama",298
"Escambia","Alabama",256
"Etowah","Alabama",220
"Fayette","Alabama",101
"Franklin","Alabama",85
"Geneva","Alabama",192
"Greene","Alabama",400
"Hale","Alabama",542
"Henry","Alabama",298
"Houston","Alabama",414
"Jackson","Alabama",93
"Jefferson","Alabama",683
"Lamar","Alabama",180
"Lauderdale","Alabama",121
"Lawrence","Alabama",83
"Lee","Alabama",236
"Limestone","Alabama",137
"Lowndes","Alabama",593
"Macon","Alabama",671
"Madison","Alabama",260
"Marengo","Alabama",177
"Marion","Alabama",150
"Marshall","Alabama",156
"Mobile","Alabama",564
"Monroe","Alabama",194
"Montgomery","Alabama",823
"Morgan","Alabama",144
"Perry","Alabama",282
"Pickens","Alabama",322
"Pike","Alabama",401
"Randolph","Alabama",82
"Russell","Alabama",419
"Shelby","Alabama",182
"St. Clair","Alabama",148
"Sumter","Alabama",400
"Talladega","Alabama",265
"Tallapoosa","Alabama",222
"Tuscaloosa","Alabama",309
"Walker","Alabama",153
"Washington","Alabama",103
"Wilcox","Alabama",245
"Winston","Alabama",54
"Aleutians East","Alaska",-4
"Aleutians West","Alaska",-4
"Anchorage","Alaska",-4
"Bethel","Alaska",-4
"Bristol Bay","Alaska",-4
"Chugach","Alaska",-4
"Copper River","Alaska",-4
"Denali","Alaska",-4
"Dillingham","Alaska",-4
"Fairbanks North Star","Alaska",-4
"Haines","Alaska",-4
"Hoonah-Angoon","Alaska",-4
"Juneau","Alaska",-4
"Kenai Peninsula","Alaska",-4
"Ketchikan Gateway","Alaska",-4
"Kodiak Island","Alaska",-4
"Kusilvak","Alaska",-4
"Lake and Peninsula","Alaska",-4
"Matanuska-Susitna","Alaska",-4
"Nome","Alaska",-4
"North Slope","Alaska",-4
"Northwest Arctic","Alaska",-4
"Petersburg","Alaska",-4
"Prince of Wales-Hyder","Alaska",-4
"Sitka","Alaska",-4
"Skagway","Alaska",-4
"Southeast Fairbanks","Alaska",-4
"Wrangell","Alaska",-4
"Yakutat","Alaska",-4
"Yukon-Koyukuk","Alaska",-4
"Apache","Arizona",212
"Cochise","Arizona",200
"Coconino","Arizona",143
"Gila","Arizona",116
"Graham","Arizona",107
"Greenlee","Arizona",67
"La Paz","Arizona",121
"Maricopa","Arizona",316
"Mohave","Arizona",145
"Navajo","Arizona",139
"Pima","Arizona",299
"Pinal","Arizona",261
"Santa Cruz","Arizona",179
"Yavapai","Arizona",138
"Yuma","Arizona",157
"Arkansas","Arkansas",249
"Ashley","Arkansas",135
"Baxter","Arkansas",108
"Benton","Arkansas",121
"Boone","Arkansas",88
"Bradley","Arkansas",125
"Calhoun","Arkansas",157
"Carroll","Arkansas",221
"Chicot","Arkansas",393
"Clark","Arkansas",152
"Clay","Arkansas",74
"Cleburne","Arkansas",101
"Cleveland","Arkansas",147
"Columbia","Arkansas",177
"Conway","Arkansas",176
"Craighead","Arkansas",182
"Crawford","Arkansas",106
"Crittenden","Arkansas",573
"Cross","Arkansas",261
"Dallas","Arkansas",-1
"Desha","Arkansas",230
"Drew","Arkansas",165
"Faulkner","Arkansas",173
"Franklin","Arkansas",66
"Fulton","Arkansas",94
"Garland","Arkansas",256
"Grant","Arkansas",109
"Greene","Arkansas",114
"Hempstead","Arkansas",161
"Hot Spring","Arkansas",231
"Howard","Arkansas",159
"Independence","Arkansas",144
"Izard","Arkansas",117
"Jackson","Arkansas",225
"Jefferson","Arkansas",513
"Johnson","Arkansas",55
"Lafayette","Arkansas",174
"Lawrence","Arkansas",116
"Lee","Arkansas",539
"Lincoln","Arkansas",401
"Little River","Arkansas",166
"Logan","Arkansas",77
"Lonoke","Arkansas",115
"Madison","Arkansas",86
"Marion","Arkansas",144
"Miller","Arkansas",343
"Mississippi","Arkansas",245
"Monroe","Arkansas",326
"Montgomery","Arkansas",64
"Nevada","Arkansas",190
"Newton","Arkansas",91
"Ouachita","Arkansas",261
"Perry","Arkansas",80
"Phillips","Arkansas",335
"Pike","Arkansas",89
"Poinsett","Arkansas",98
"Polk","Arkansas",96
"Pope","Arkansas",100
"Prairie","Arkansas",176
"Pulaski","Arkansas",614
"Randolph","Arkansas",93
"Saline","Arkansas",132
"Scott","Arkansas",94
"Searcy","Arkansas",-1
"Sebastian","Arkansas",193
"Sevier","Arkansas",120
"Sharp","Arkansas",87
"St. Francis","Arkansas",397
"Stone","Arkansas",82
"Union","Arkansas",337
"Van Buren","Arkansas",63
"Washington","Arkansas",185
"White","Arkansas",123
"Woodruff","Arkansas",246
"Yell","Arkansas",142
"Alameda","California",425
"Alpine","California",-1
"Amador","California",514
"Butte","California",137
"Calaveras","California",122
"Colusa","California",103
"Contra Costa","California",278
"Del Norte","California",160
"El Dorado","California",125
"Fresno","California",267
"Glenn","California",101
"Humboldt","California",185
"Imperial","California",259
"Inyo","California",156
"Kern","California",269
"Kings","California",154
"Lake","California",259
"Lassen","California",88
"Los Angeles","California",595
"Madera","California",166
"Marin","California",353
"Mariposa","California",125
"Mendocino","California",237
"Merced","California",157
"Modoc","California",-1
"Mono","California",63
"Monterey","California",212
"Napa","California",244
"Nevada","California",143
"Orange","California",264
"Placer","California",109
"Plumas","California",126
"Riverside","California",474
"Sacramento","California",348
"San Benito","California",107
"San Bernardino","California",272
"San Diego","California",473
"San Francisco","California",1515
"San Joaquin","California",230
"San Luis Obispo","California",156
"San Mateo","California",257
"Santa Barbara","California",158
"Santa Clara","California",213
"Santa Cruz","California",215
"Shasta","California",135
"Sierra","California",-1
"Siskiyou","California",170
"Solano","California",342
"Sonoma","California",339
"Stanislaus","California",185
"Sutter","California",151
"Tehama","California",88
"Trinity","California",149
"Tulare","California",140
"Tuolumne","California",123
"Ventura","California",160
"Yolo","California",165
"Yuba","California",158
"Adams","Colorado",278
"Alamosa","Colorado",172
"Arapahoe","Colorado",293
"Archuleta","Colorado",113
"Baca","Colorado",-1
"Bent","Colorado",-1
"Boulder","Colorado",167
"Broomfield","Colorado",24
"Chaffee","Colorado",113
"Cheyenne","Colorado",-1
"Clear Creek","Colorado",209
"Conejos","Colorado",-1
"Costilla","Colorado",-1
"Crowley","Colorado",439
"Custer","Colorado",0
"Delta","Colorado",89
"Denver","Colorado",866
"Dolores","Colorado",-1
"Douglas","Colorado",92
"Eagle","Colorado",154
"El Paso","Colorado",163
"Elbert","Colorado",119
"Fremont","Colorado",353
"Garfield","Colorado",161
"Gilpin","Colorado",178
"Grand","Colorado",135
"Gunnison","Colorado",45
"Hinsdale","Colorado",-1
"Huerfano","Colorado",245
"Jackson","Colorado",0
"Jefferson","Colorado",182
"Kiowa","Colorado",0
"Kit Carson","Colorado",-1
"La Plata","Colorado",126
"Lake","Colorado",74
"Larimer","Colorado",100
"Las Animas","Colorado",158
"Lincoln","Colorado",247
"Logan","Colorado",172
"Mesa","Colorado",124
"Mineral","Colorado",-1
"Moffat","Colorado",83
"Montezuma","Colorado",125
"Montrose","Colorado",76
"Morgan","Colorado",115
"Otero","Colorado",99
"Ouray","Colorado",-1
"Park","Colorado",123
"Phillips","Colorado",138
"Pitkin","Colorado",118
"Prowers","Colorado",81
"Pueblo","Colorado",168
"Rio Blanco","Colorado",-1
"Rio Grande","Colorado",105
"Routt","Colorado",116
"Saguache","Colorado",183
"San Juan","Colorado",-1
"San Miguel","Colorado",84
"Sedgwick","Colorado",-1
"Summit","Colorado",177
"Teller","Colorado",84
"Washington","Colorado",-1
"Weld","Colorado",92
"Yuma","Colorado",137
"Fairfield","Connecticut",337
"Hartford","Connecticut",401
"Litchfield","Connecticut",153
"Middlesex","Connecticut",209
"New Haven","Connecticut",455
"New London","Connecticut",240
"Tolland","Connecticut",112
"Windham","Connecticut",192
"Kent","Delaware",324
"New Castle","Delaware",446
"Sussex","Delaware",345
"Alachua","Florida",427
"Baker","Florida",427
"Bay","Florida",337
"Bradford","Florida",288
"Brevard","Florida",326
"Broward","Florida",1199
"Calhoun","Florida",223
"Charlotte","Florida",191
"Citrus","Florida",180
"Clay","Florida",227
"Collier","Florida",284
"Columbia","Florida",524
"DeSoto","Florida",409
"Dixie","Florida",309
"Duval","Florida",786
"Escambia","Florida",473
"Flagler","Florida",231
"Franklin","Florida",166
"Gadsden","Florida",683
"Gilchrist","Florida",155
"Glades","Florida",739
"Gulf","Florida",247
"Hamilton","Florida",1116
"Hardee","Florida",274
"Hendry","Florida",413
"Hernando","Florida",241
"Highlands","Florida",286
"Hillsborough","Florida",573
"Holmes","Florida",166
"Indian River","Florida",286
"Jackson","Florida",1029
"Jefferson","Florida",765
"Lafayette","Florida",176
"Lake","Florida",333
"Lee","Florida",324
"Leon","Florida",509
"Levy","Florida",264
"Liberty","Florida",162
"Madison","Florida",604
"Manatee","Florida",316
"Marion","Florida",338
"Martin","Florida",268
"Miami-Dade","Florida",1147
"Monroe","Florida",793
"Nassau","Florida",175
"Okaloosa","Florida",253
"Okeechobee","Florida",315
"Orange","Florida",757
"Osceola","Florida",449
"Palm Beach","Florida",616
"Pasco","Florida",260
"Pinellas","Florida",556
"Polk","Florida",422
"Putnam","Florida",396
"Santa Rosa","Florida",153
"Sarasota","Florida",253
"Seminole","Florida",334
"St. Johns","Florida",160
"St. Lucie","Florida",595
"Sumter","Florida",214
"Suwannee","Florida",421
"Taylor","Florida",687
"Union","Florida",2002
"Volusia","Florida",378
"Wakulla","Florida",418
"Walton","Florida",149
"Washington","Florida",772
"Appling","Georgia",245
"Atkinson","Georgia",322
"Bacon","Georgia",496
"Baker","Georgia",311
"Baldwin","Georgia",346
"Banks","Georgia",121
"Barrow","Georgia",190
"Bartow","Georgia",243
"Ben Hill","Georgia",357
"Berrien","Georgia",278
"Bibb","Georgia",965
"Bleckley","Georgia",403
"Brantley","Georgia",106
"Brooks","Georgia",538
"Bryan","Georgia",189
"Bulloch","Georgia",377
"Burke","Georgia",538
"Butts","Georgia",654
"Calhoun","Georgia",525
"Camden","Georgia",224
"Candler","Georgia",343
"Carroll","Georgia",267
"Catoosa","Georgia",85
"Charlton","Georgia",462
"Chatham","Georgia",740
"Chattahoochee","Georgia",128
"Chattooga","Georgia",263
"Cherokee","Georgia",194
"Clarke","Georgia",404
"Clay","Georgia",528
"Clayton","Georgia",1016
"Clinch","Georgia",463
"Cobb","Georgia",543
"Coffee","Georgia",306
"Colquitt","Georgia",519
"Columbia","Georgia",186
"Cook","Georgia",492
"Coweta","Georgia",221
"Crawford","Georgia",209
"Crisp","Georgia",733
"Dade","Georgia",101
"Dawson","Georgia",163
"Decatur","Georgia",637
"DeKalb","Georgia",1418
"Dodge","Georgia",451
"Dooly","Georgia",470
"Dougherty","Georgia",1101
"Douglas","Georgia",522
"Early","Georgia",253
"Echols","Georgia",-1
"Effingham","Georgia",150
"Elbert","Georgia",227
"Emanuel","Georgia",341
"Evans","Georgia",494
"Fannin","Georgia",161
"Fayette","Georgia",242
"Floyd","Georgia",295
"Forsyth","Georgia",86
"Franklin","Georgia",246
"Fulton","Georgia",1745
"Gilmer","Georgia",202
"Glascock","Georgia",235
"Glynn","Georgia",479
"Gordon","Georgia",142
"Grady","Georgia",322
"Greene","Georgia",177
"Gwinnett","Georgia",413
"Habersham","Georgia",162
"Hall","Georgia",183
"Hancock","Georgia",460
"Haralson","Georgia",135
"Harris","Georgia",150
"Hart","Georgia",168
"Heard","Georgia",149
"Henry","Georgia",510
"Houston","Georgia",339
"Irwin","Georgia",947
"Jackson","Georgia",163
"Jasper","Georgia",189
"Jeff Davis","Georgia",265
"Jefferson","Georgia",400
"Jenkins","Georgia",401
"Johnson","Georgia",226
"Jones","Georgia",107
"Lamar","Georgia",269
"Lanier","Georgia",224
"Laurens","Georgia",508
"Lee","Georgia",238
"Liberty","Georgia",502
"Lincoln","Georgia",245
"Long","Georgia",111
"Lowndes","Georgia",663
"Lumpkin","Georgia",90
"Macon","Georgia",570
"Madison","Georgia",153
"Marion","Georgia",205
"McDuffie","Georgia",264
"McIntosh","Georgia",412
"Meriwether","Georgia",333
"Miller","Georgia",446
"Mitchell","Georgia",543
"Monroe","Georgia",216
"Montgomery","Georgia",220
"Morgan","Georgia",217
"Murray","Georgia",108
"Muscogee","Georgia",710
"Newton","Georgia",445
"Oconee","Georgia",74
"Oglethorpe","Georgia",175
"Paulding","Georgia",175
"Peach","Georgia",547
"Pickens","Georgia",122
"Pierce","Georgia",173
"Pike","Georgia",74
"Polk","Georgia",216
"Pulaski","Georgia",245
"Putnam","Georgia",160
"Quitman","Georgia",556
"Rabun","Georgia",130
"Randolph","Georgia",700
"Richmond","Georgia",894
"Rockdale","Georgia",553
"Schley","Georgia",136
"Screven","Georgia",369
"Seminole","Georgia",318
"Spalding","Georgia",392
"Stephens","Georgia",247
"Stewart","Georgia",1196
"Sumter","Georgia",553
"Talbot","Georgia",404
"Taliaferro","Georgia",439
"Tattnall","Georgia",409
"Taylor","Georgia",447
"Telfair","Georgia",526
"Terrell","Georgia",628
"Thomas","Georgia",466
"Tift","Georgia",526
"Toombs","Georgia",405
"Towns","Georgia",72
"Treutlen","Georgia",402
"Troup","Georgia",327
"Turner","Georgia",743
"Twiggs","Georgia",256
"Union","Georgia",141
"Upson","Georgia",293
"Walker","Georgia",165
"Walton","Georgia",312
"Ware","Georgia",584
"Warren","Georgia",401
"Washington","Georgia",293
"Wayne","Georgia",400
"Webster","Georgia",-1
"Wheeler","Georgia",378
"White","Georgia",74
"Whitfield","Georgia",167
"Wilcox","Georgia",665
"Wilkes","Georgia",289
"Wilkinson","Georgia",147
"Worth","Georgia",378
"Hawaii","Hawaii",254
"Honolulu","Hawaii",185
"Kalawao","Hawaii",-1
"Kauai","Hawaii",-1
"Maui","Hawaii",217
"Ada","Idaho",35
"Adams","Idaho",0
"Bannock","Idaho",30
"Bear Lake","Idaho",0
"Benewah","Idaho",-1
"Bingham","Idaho",27
"Blaine","Idaho",-1
"Boise","Idaho",-1
"Bonner","Idaho",32
"Bonneville","Idaho",16
"Boundary","Idaho",-1
"Butte","Idaho",0
"Camas","Idaho",0
"Canyon","Idaho",28
"Caribou","Idaho",0
"Cassia","Idaho",-1
"Clark","Idaho",0
"Clearwater","Idaho",-1
"Custer","Idaho",0
"Elmore","Idaho",45
"Franklin","Idaho",-1
"Fremont","Idaho",-1
"Gem","Idaho",38
"Gooding","Idaho",71
"Idaho","Idaho",-1
"Jefferson","Idaho",-1
"Jerome","Idaho",31
"Kootenai","Idaho",29
"Latah","Idaho",31
"Lemhi","Idaho",-1
"Lewis","Idaho",0
"Lincoln","Idaho",-1
"Madison","Idaho",-1
"Minidoka","Idaho",-1
"Nez Perce","Idaho",15
"Oneida","Idaho",0
"Owyhee","Idaho",-1
"Payette","Idaho",-1
"Power","Idaho",-1
"Shoshone","Idaho",-1
"Teton","Idaho",0
"Twin Falls","Idaho",21
"Valley","Idaho",0
"Washington","Idaho",0
"Adams","Illinois",81
"Alexander","Illinois",299
"Bond","Illinois",71
"Boone","Illinois",38
"Brown","Illinois",104
"Bureau","Illinois",76
"Calhoun","Illinois",126
"Carroll","Illinois",-1
"Cass","Illinois",-1
"Champaign","Illinois",217
"Christian","Illinois",91
"Clark","Illinois",78
"Clay","Illinois",46
"Clinton","Illinois",85
"Coles","Illinois",84
"Cook","Illinois",600
"Crawford","Illinois",120
"Cumberland","Illinois",67
"De Witt","Illinois",46
"DeKalb","Illinois",89
"Douglas","Illinois",31
"DuPage","Illinois",94
"Edgar","Illinois",55
"Edwards","Illinois",-1
"Effingham","Illinois",32
"Fayette","Illinois",83
"Ford","Illinois",55
"Franklin","Illinois",90
"Fulton","Illinois",151
"Gallatin","Illinois",121
"Greene","Illinois",-1
"Grundy","Illinois",33
"Hamilton","Illinois",-1
"Hancock","Illinois",-1
"Hardin","Illinois",0
"Henderson","Illinois",-1
"Henry","Illinois",49
"Iroquois","Illinois",66
"Jackson","Illinois",110
"Jasper","Illinois",-1
"Jefferson","Illinois",137
"Jersey","Illinois",43
"Jo Daviess","Illinois",27
"Johnson","Illinois",251
"Kane","Illinois",78
"Kankakee","Illinois",169
"Kendall","Illinois",45
"Knox","Illinois",183
"Lake","Illinois",144
"LaSalle","Illinois",82
"Lawrence","Illinois",37
"Lee","Illinois",69
"Livingston","Illinois",167
"Logan","Illinois",167
"Macon","Illinois",193
"Macoupin","Illinois",79
"Madison","Illinois",102
"Marion","Illinois",52
"Marshall","Illinois",-1
"Mason","Illinois",62
"Massac","Illinois",43
"McDonough","Illinois",97
"McHenry","Illinois",53
"McLean","Illinois",141
"Menard","Illinois",136
"Mercer","Illinois",54
"Monroe","Illinois",21
"Montgomery","Illinois",141
"Morgan","Illinois",76
"Moultrie","Illinois",-1
"Ogle","Illinois",45
"Peoria","Illinois",251
"Perry","Illinois",162
"Piatt","Illinois",-1
"Pike","Illinois",-1
"Pope","Illinois",-1
"Pulaski","Illinois",292
"Putnam","Illinois",0
"Randolph","Illinois",125
"Richland","Illinois",-1
"Rock Island","Illinois",201
"Saline","Illinois",-1
"Sangamon","Illinois",199
"Schuyler","Illinois",-1
"Scott","Illinois",0
"Shelby","Illinois",28
"St. Clair","Illinois",342
"Stark","Illinois",-1
"Stephenson","Illinois",115
"Tazewell","Illinois",77
"Union","Illinois",50
"Vermilion","Illinois",192
"Wabash","Illinois",-1
"Warren","Illinois",-1
"Washington","Illinois",0
"Wayne","Illinois",60
"White","Illinois",-1
"Whiteside","Illinois",-1
"Will","Illinois",106
"Williamson","Illinois",112
"Winnebago","Illinois",132
"Woodford","Illinois",66
"Adams","Indiana",22
"Allen","Indiana",181
"Bartholomew","Indiana",86
"Benton","Indiana",97
"Blackford","Indiana",70
"Boone","Indiana",92
"Brown","Indiana",67
"Carroll","Indiana",41
"Cass","Indiana",89
"Clark","Indiana",260
"Clay","Indiana",100
"Clinton","Indiana",84
"Crawford","Indiana",100
"Daviess","Indiana",83
"Dearborn","Indiana",43
"Decatur","Indiana",81
"DeKalb","Indiana",61
"Delaware","Indiana",140
"Dubois","Indiana",74
"Elkhart","Indiana",115
"Fayette","Indiana",82
"Floyd","Indiana",176
"Fountain","Indiana",36
"Franklin","Indiana",26
"Fulton","Indiana",78
"Gibson","Indiana",68
"Grant","Indiana",123
"Greene","Indiana",73
"Hamilton","Indiana",88
"Hancock","Indiana",104
"Harrison","Indiana",73
"Hendricks","Indiana",124
"Henry","Indiana",121
"Howard","Indiana",180
"Huntington","Indiana",94
"Jackson","Indiana",145
"Jasper","Indiana",82
"Jay","Indiana",72
"Jefferson","Indiana",105
"Jennings","Indiana",26
"Johnson","Indiana",123
"Knox","Indiana",94
"Kosciusko","Indiana",53
"LaGrange","Indiana",39
"Lake","Indiana",266
"LaPorte","Indiana",187
"Lawrence","Indiana",85
"Madison","Indiana",185
"Marion","Indiana",606
"Marshall","Indiana",42
"Martin","Indiana",82
"Miami","Indiana",126
"Monroe","Indiana",170
"Montgomery","Indiana",93
"Morgan","Indiana",89
"Newton","Indiana",59
"Noble","Indiana",48
"Ohio","Indiana",-1
"Orange","Indiana",79
"Owen","Indiana",78
"Parke","Indiana",133
"Perry","Indiana",135
"Pike","Indiana",48
"Porter","Indiana",109
"Posey","Indiana",75
"Pulaski","Indiana",66
"Putnam","Indiana",176
"Randolph","Indiana",103
"Ripley","Indiana",46
"Rush","Indiana",64
"Scott","Indiana",764
"Shelby","Indiana",87
"Spencer","Indiana",29
"St. Joseph","Indiana",255
"Starke","Indiana",72
"Steuben","Indiana",57
"Sullivan","Indiana",107
"Switzerland","Indiana",78
"Tippecanoe","Indiana",124
"Tipton","Indiana",38
"Union","Indiana",-1
"Vanderburgh","Indiana",193
"Vermillion","Indiana",54
"Vigo","Indiana",214
"Wabash","Indiana",49
"Warren","Indiana",-1
"Warrick","Indiana",79
"Washington","Indiana",105
"Wayne","Indiana",130
"Wells","Indiana",39
"White","Indiana",84
"Whitley","Indiana",55
"Adair","Iowa",-1
"Adams","Iowa",0
"Allamakee","Iowa",53
"Appanoose","Iowa",-1
"Audubon","Iowa",129
"Benton","Iowa",47
"Black Hawk","Iowa",110
"Boone","Iowa",71
"Bremer","Iowa",-1
"Buchanan","Iowa",52
"Buena Vista","Iowa",94
"Butler","Iowa",-1
"Calhoun","Iowa",-1
"Carroll","Iowa",85
"Cass","Iowa",-1
"Cedar","Iowa",51
"Cerro Gordo","Iowa",92
"Cherokee","Iowa",-1
"Chickasaw","Iowa",51
"Clarke","Iowa",78
"Clay","Iowa",37
"Clayton","Iowa",81
"Clinton","Iowa",90
"Crawford","Iowa",72
"Dallas","Iowa",85
"Davis","Iowa",-1
"Decatur","Iowa",-1
"Delaware","Iowa",49
"Des Moines","Iowa",89
"Dickinson","Iowa",40
"Dubuque","Iowa",92
"Emmet","Iowa",-1
"Fayette","Iowa",73
"Floyd","Iowa",46
"Franklin","Iowa",-1
"Fremont","Iowa",-1
"Greene","Iowa",68
"Grundy","Iowa",-1
"Guthrie","Iowa",-1
"Hamilton","Iowa",81
"Hancock","Iowa",-1
"Hardin","Iowa",63
"Harrison","Iowa",69
"Henry","Iowa",72
